ಕ್ರ. ಸಂ,ಪತ್ರಿಕೆಯ ಹೆಸರು,ಪ್ರಾರಂಭದ ವರ್ಷ,ಪ್ರಕಟಿಸಿದಸ್ಥಳ,ಪ್ರಕಾಶಕರು,ಸ್ಥಾಪಕ ಸಂಪಾದಕ/ಸಂಪಾದಕ,ಆವರ್ತಕತೆ,ಭಾಷೆ,ಹಾವನೂರು ಶ್ರೀನಿವಾಸ್,ಕೆಪಿಎ
20,ಶ್ರೀ ಕೃಷ್ಣ ಸೂಕ್ತಿ,1906,ಮಂಗಳೂರು,ಧರ್ಮ ಪ್ರಕಾಶನ ಪ್ರೆಸ್ ,ಕರೋಡಿ ಸುಬ್ಬಾ ರಾವ್ ಬಿ. ಎನ್ / ಎನ್ ರಾಜಗೋಪಾಲ್ ಕೃಷ್ಣ ರಾವ್ ,ಮಾಸಿಕ,ಕನ್ನಡ,,1905
21,ಸಧ್ಬೋಧ ಚಂದ್ರಿಕೆ ,1910,ಧಾರವಾಡ/ಆನಂದವನ,ಚಿದಂಬರ ಮೂರ್ತಿ ಚಕ್ರವರ್ತಿ ,ಹೆಚ್. ಜಿ. ಚಕ್ರವರ್ತಿ  / ಚಿದಂಬರ ಮೂರ್ತಿ ಚಕ್ರವರ್ತಿ ,ಮಾಸಿಕ,ಕನ್ನಡ,"1907, Pub:
 Seshachala granta Male, Edi : V T Kulkarni Galaganatha",Edi- Venkates ha Rango Kulkarni
22,ಮಂಗಳೂರು ವಾರ್ತೆ,1910,ಮಂಗಳೂರು,ಜಿ.ಆರ್ . ಕುರೂಪ್ ,ಜಿ.ಆರ್ . ಕುರೂಪ್ ,ಮಾಸಿಕ,ಕನ್ನಡ,,
23,ಸೂಪಂಥ ,1911,ಮೈಸೂರು,ಥಿಯೋಸೊಫಿಕಲ್ ಸೊಸೈಟಿ ,ಮಹಾದೇವ ಶಾಸ್ತ್ರಿ ,ಮಾಸಿಕ,ಕನ್ನಡ,,
24,ವಿಕಟ ವಿನೋದಿನಿ,1913,ಬೆಂಗಳೂರು,ಬಿ. ಶಿವಪ್ಪ ,ಬಿ. ಶಿವಪ್ಪ ,ಮಾಸಿಕ,ಕನ್ನಡ,,
25,ವಿಚಾರವಾಹಿನಿ,1913,ಮೈಸೂರು,,ಕೂಡ್ಲಿ  ಚಿದಂಬರಂ ,ಮಾಸಿಕ,ಕನ್ನಡ,,
26,ಪ್ರಾಕೃತ್,1915,ಮೈಸೂರು,,ಮೊಹಮ್ಮದ್ ಜಹಿರುಲ್ ಹಕ್ /ಬಿ ಬಾಲಯ್ಯ ,ದೈನಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,,1990
27,ಒಕ್ಕಲಿಗರ ಪತ್ರಿಕೆ ,1916,ಬೆಂಗಳೂರು,,ಎಂ.ಕೆ. ತಿಮ್ಮೇಶ್ ಪ್ರಭು ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
28,ಕನ್ನಡಾವೃತ ,1916,ಮಂಗಳೂರು,ಶ್ರೀಕಂಠ ಪಾಂಡುರಂಗ ,ಶ್ರೀಕಂಠ ಪಾಂಡುರಂಗ ಶಾನಭಾಗ್ ,ದೈನಿಕ,ಕನ್ನಡ,,
29,ಸತ್ಯವಾದಿ ,1916,ಮೈಸೂರು,ಶಾನಭಾಗ್ ಎಂ.ಎಸ್ . ಕೃಷ್ಣ ರಾವ್ ,ಎಂ.ಎ.  ಸುಬ್ಬ ರಾವ್ / ಎಂ.ಎಸ್ . ಕೃಷ್ಣ ರಾವ್ ,ದೈನಿಕ,ಕನ್ನಡ,1919 -21,1917
30,ಕನ್ನಡ ವೃತ ,1916,ಕುಮಟಾ,ಶ್ರೀಕಂಠ ಪಾಂಡುರಂಗ ಶಾನಭಾಗ್ ,ಶ್ರೀಕಂಠ ಪಾಂಡುರಂಗ ಶಾನಭಾಗ್ ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,Pub- Krishna Keshava Shenoy,
31,ಕತೆಗಾರ,1917,ಬೆಂಗಳೂರು,,ಎಂ.ಎನ್. ನಾರಾಯಣ ರಾವ್ / ಜಿ.ಎ. ನರಸಿಂಹ ಮೂರ್ತಿ ,ಮಾಸಿಕ,ಕನ್ನಡ,"1932-66, Pub : R N news agency, fou edi: M N Narayana raya,","1933, pub : Narayana Rao"
32,ಪ್ರಬುದ್ಧ ಕರ್ನಾಟಕ ,1919,ಮೈಸೂರು,ಮೈಸೂರು ವಿಶ್ವವಿದ್ಯಾಲಯ ,ಸಿ.ಪಿ. ಕೃಷ್ಣಕುಮಾರ್ /ಟಿ.ವಿ. ವೆಂಕಟಾಚಲ ಶಾಸ್ತ್ರಿ ,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,"1919, Pub - Prasaranga, Editor - T S V enkannaiah/ A R Krishna Shastry, Quarterly","1919,"
33,ಕನ್ನಡ ಧುರೀಣ ,1919,ಕುಮಟಾ,ಗಣೇಶ್ ರಾಮ ಯಾಜಿ,ಗಣೇಶ್ ರಾಮ ಯಾಜಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
34,ಕರ್ನಾಟಕ  ಧುರೀಣ ,1919,ಕುಮಟಾ,ಗಣೇಶ್ ರಾಮ ಯಾಜಿ,ಗಣೇಶ್ ರಾಮ ಯಾಜಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,1918
35,ದಿ ಕೆನರಾ ಲೀಡರ್ ,1920,ಕುಮಟಾ,,,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,,
36,ಕೊಡಗು,1921,ಮಡಿಕೇರಿ,ಬಿ. ಡಿ. ಗಣಪತಿ,ಬಿ. ಡಿ. ಗಣಪತಿ,,ಕನ್ನಡ,,
37,ಕೊಡಗು ದೈನಿಕ,1921/1975,ಮಡಿಕೇರಿ,ಎಂ. ಯು. ಕಲ್ಲಪ್ಪ,ಎಂ. ಯು. ಕಲ್ಲಪ್ಪ,ದೈನಿಕ,ಕನ್ನಡ,,
38,ನವಯುಗ,1922,ಬೆಂಗಳೂರು,,ಕೆ. ಹೊನ್ನಯ್ಯ ಶೆಟ್ಟಿ / ಎ.ಬಿ. ಶೆಟ್ಟಿ ,,ಕನ್ನಡ,,
39,ವಿಶ್ವ ಕರ್ನಾಟಕ,1922,ಬೆಂಗಳೂರು,ತಿರುಮಲತಾತಾಚಾರ್ಯ ಶರ್ಮ & ಎಸ್  ಕೃಷ್ಣಶರ್ಮ ಕಾರ್ಯಾಲಯ ,ತಿರುಮಲತಾತಾಚಾರ್ಯ ಶರ್ಮ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,1921-55/1977,
40,ಸಧರ್ಮ ಪ್ರಭ ,1923,ಉಜೈನಿ/ಬಳ್ಳಾರಿ, ಶ್ರೀಮದ್ ಉಜೈನಿ ಜಗ್ದಗುರು  ಸಧರ್ಮ ಸಿಂಹಾಸನ ಜ್ಞಾನಗುರು ವಿದ್ಯಾಪೀಠ ,ಎಸ್.ಬಿ. ಸಿದ್ದಪಾದ ಶಿವಾಚಾರ್ಯ ,ಮಾಸಿಕ,ಕನ್ನಡ,,
41,ಪ್ರಜಾ ಮತ,1923,,,,ಮಾಸಿಕ,ಕನ್ನಡ,,
42,ಬಸವರಾಜ್,1924,ಹಾವೇರಿ,ಚೆನ್ನಬಸಪ್ಪ ಮುರುಘೇಂದ್ರಪ್ಪ ಹಾಲಪ್ಪನವರ,ಚೆನ್ನಬಸಪ್ಪ ಮುರುಘೇಂದ್ರಪ್ಪ ಹಾಲಪ್ಪನವರ,,ಕನ್ನಡ,,
43,ಸತ್ಯಾಗ್ರಹಿ,1924,ಉಡುಪಿ,,ಮೂಲ್ಕಿ ವಾಮನ ಕೂಡುವ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
44,ಅರ್ಥಸಾಧಕ ಪತ್ರಿಕೆ ,1925,ಬೆಂಗಳೂರು,ಹನುಮಂತಯ್ಯ ಗೌಡ,ಹನುಮಂತಯ್ಯ ಗೌಡ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
45,ಮೈಸೂರು ವ್ಯವಸಾಯ ಪತ್ರಿಕೆ / Mysore Farmers' Forum,1925,ಬೆಂಗಳೂರು,ಭಾರತ ಕೃಷಿಕ ಸಮಾಜ ,,ಮಾಸಿಕ,ಕನ್ನಡ,"Pub : P Y Venkatarayapp a and T K Balakrishna, founder edi: M V Rajashekara",
46,ವಿಶ್ವ ಬಂಧು ,1925,ಮೈಸೂರು,ಎ. ಶಾಂತಿರಾಜ ಶಾಸ್ತ್ರಿ ,ಎ ಶಾಂತಿರಾಜ ಶಾಸ್ತ್ರಿ ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,"1924 - 28, Editor - G R Swamy/ K S Dharmendrayy a, Weekly /Fortnightly",1924
47,ದಿವ್ಯಜ್ಯೋತಿ,1926,ಬೆಂಗಳೂರು,ಕರ್ನಾಟಕ ಥಿಯೋಸೋಫಿಕಲ್ ಫೆಡರೇಷನ್,ಬಿ.ವಿ. ತಿಪ್ಪೇಸ್ವಾಮಿ ,ಮಾಸಿಕ,ಕನ್ನಡ,"1967, Pub and edi: T S Jayadevanna,",1975
48,ಸುಭೋಧ,1926,ಬೆಂಗಳೂರು,ಸುಬೋಧ ಪ್ರಕಟಣಾಲಯ ,ಎಂ ರಾಮ ರಾವ್ ,ಮಾಸಿಕ,ಕನ್ನಡ,1925-71,
49,ವಿದ್ಯಾದಾಯಿನಿ,1926,ಮೈಸೂರು,,ಎ ಶೇಷಯ್ಯಂಗಾರ್,ಮಾಸಿಕ,ಕನ್ನಡ,"1893 - 1956, Pub - Mysore Santana Shiksjana Ilake, Esitor - M Shama Rao / Bapu Subbarao & others",
50,ತಾಯಿ ನಾಡು,1927,ಬೆಂಗಳೂರು,ಪಿ. ಆರ್. ರಾಮಯ್ಯ,ಪಿ. ಆರ್. ರಾಮಯ್ಯ,,ಕನ್ನಡ,,1928
51,ತಾಯಿ ನಾಡು,1927,ಬೆಂಗಳೂರು,,ರುಮಾಲೆ ಚನ್ನಬಸವಯ್ಯ  ,ದೈನಿಕ,ಕನ್ನಡ,"1927-62, Edi-P R Ramaiah",
52,ಪಂಚಚಾರ್ಯ ಪ್ರಭ ,1927,ಮೈಸೂರು,ಬಿ.ಎಂ. ಸಿದ್ದೇಶ್ವರ ,ಬಿ ಎಸ್  ಕಾಶೀನಾಥ ಶಾಸ್ತ್ರಿ/ಬಿ.ಎಂ. ಸಿದ್ದೇಶ್ವರ ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,1936
53,ಜ್ಯೋತಿಷ್ಯ ಕಲ್ಪಧೃಮವು,1927,ತೀರ್ಥಹಳ್ಳಿ,,ಪಿ ಕುಮಾರ್ ಜೋಯಿಸ್/ ಕೆ ನರಸಿಂಹ ಶಾಸ್ತ್ರಿ,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,1926 -28,
54,ತರುಣ್ ಭಾರತ್,1928,ಬೆಳಗಾವಿ,ಬಾಬು ರಾವ್ ಟಾಕೋರ್,ಬಾಬು ರಾವ್ ಟಾಕೋರ್,ದೈನಿಕ,ಹಿಂದಿ,,
55,ಕರ್ನಾಟಕ ಕೇಸರಿ,1928,ಮಂಗಳೂರು/ಪುತ್ತೂರು,ಎಚ್ ಆನಂತ್ ಕಾಮತ್ ,ರಾವ್ ಸಾಹೇಬ ಮಂಜೇಶ್ವರ ಅನಂತ ರಾವ್ ,ಮಾಸಿಕ,ಕನ್ನಡ,1927 - 1929,
56,ರಾಷ್ಟ್ರ ಬಂಧು ,1928,ಮಂಗಳೂರು,ಕೆ ಆರ್ ಆಚಾರ್ ,ಕೆ ಆರ್ ಆಚಾರ್ / ಯು ರಾಮ ರಾವ್ ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,Year 1927 -29 - Pulisher - U N Achar / Shankar Bhat - Founder Editor/Editor. B.K. Shesha Bhat/ Kandegooda S. Bhat,
57,ವೀರ ಕೇಸರಿ ,1928,ಮೈಸೂರು,,ಎಂ ಸೀತಾರಾಮ ಶಾಸ್ತ್ರಿ ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,"Pub - Veera Kesari Karyalaya, Editor - M Rama Murthy",
58,ಕರ್ನಾಟಕ ಕೇಸರಿi,1928,ಉಡುಪಿ,ಹೆಚ್ ಅನಂತ್ ಕಾಮತ್,ರಾವ್ ಸಾಹೇಬ್ ಮಂಜೇಶ್ವರ ಅನಂತ ರಾವ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
59,ನವಜೀವನ,1929,ಬೆಂಗಳೂರು,ಮಕ್ಕಳ ಪುಸ್ತಕ ಪ್ರೆಸ್,ಸಿ.ಅಶ್ವಥನಾರಾಯಣ ರಾವ್,ದೈನಿಕ,ಕನ್ನಡ,"1927-29, Weekly",
60,ವೇದ ಸಂದೇಶ,1929,ಬೆಂಗಳೂರು,,ಧರ್ಮದೇವ್,ಮಾಸಿಕ,ಕನ್ನಡ,1956-58,
