ಕ್ರ. ಸಂ,ಪತ್ರಿಕೆಯ ಹೆಸರು,ಪ್ರಾರಂಭದ ವರ್ಷ,ಪ್ರಕಟಿಸಿದಸ್ಥಳ,ಪ್ರಕಾಶಕರು,ಸ್ಥಾಪಕ ಸಂಪಾದಕ/ಸಂಪಾದಕ,ಆವರ್ತಕತೆ,ಭಾಷೆ,ಹಾವನೂರು ಶ್ರೀನಿವಾಸ್,ಕೆಪಿಎ
908,ಜ್ಯೋತಿಷ್ಯ ಸುಧಾ,1984,ಕಲಬುರ್ಗಿ,,ಆರ್.ಗುರುರಾಜ ಉಜ್ಜಯಿನಿ/ ಆರ್ ಎಂ ಉಜ್ಜೈನಿ,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
909,ಕೊಳಲು,1984,ಮಂಡ್ಯ,ಡಿ.ಎನ್.ಶ್ರೀಪಾದು,ಧನಂಜಯ್ ಪ್ರಿಂಟಿಂಗ್ ಪ್ರೆಸ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
910,ದಾರಿ ಬೆಳಕು,1984,ಪಿರಿಯಪಟ್ನ,ಕಂಪ್ಲಾಪುರ ಮೋಹನ್,ಕಂಪ್ಲಾಪುರ ಮೋಹನ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,1982
911,ಕರ್ನಾಟಕ ಮುನ್ನಡೆ,1984,ಶಿವಮೊಗ್ಗ,ಸಿ ಎಸ್ ಪದ್ಮನಾಬ್,ಸಿ ಎಸ್ ಪದ್ಮನಾಬ್/ಸುಬೀರ್ ಹರಿಸಿಂಗ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
912,ವಿಕಾಸಪಥ,1984,ಶಿವಮೊಗ್ಗ,ಆರೋಗ್ಯ ವಿಕಾಸ ಪ್ರಕಲ್ಪ,,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
913,ಪರಂಪರಾಗತ ವೈದ್ಯ,1984,ಉತ್ತರಕನ್ನಡ,ಪರಂಪರಾಗತ ವೈದ್ಯ ಕೇಂದ್ರ,ಜಿ.ಪಿ.ಭಟ್ಟ ಮುದಗುಣಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
914,ಸಹ್ಯಾದ್ರಿ ಪರಿಸರ ಪಾತ್ರ,1984,ಶಿರಸಿ,,,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
915,ಕನ್ನಡ ಕೋಗಿಲೆ,1984,ವಿಜಯಪುರ,ಸರೋಜಿನಿ ಬಿ ಕುಲಕರ್ಣಿ,ಸರೋಜಿನಿ ಬಿ ಕುಲಕರ್ಣಿ,ದೈನಿಕ,ಕನ್ನಡ,,
916,ವೀರ ವಾಣಿ,1984,ವಿಜಯಪುರ,ಜಗದೀಶ್ ಜಿ ನಾಗತಾನ್,ಗಣೇಶ್ ವೈ ನಾಗತಾನ್/ ಜಗದೀಶ್ ಜಿ ನಾಗತಾನ್,ದೈನಿಕ,ಕನ್ನಡ,,
917,ದೇಸಾಯಿ ವಾರ್ತ,1985,ಬಾಗಲಕೋಟೆ,,ಅಶೋಕ್ ದೇಸಾಯಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
918,ಮೂಲಕ,1985,,,,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
919,ಮಣ್ಣಿನ ಮಗ,1985,ದೊಡ್ಡಬಳ್ಳಾಪುರ,ಕೆಂಪಮ್ಮ,ಕೆಂಪಮ್ಮ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
920,ಬೆಳಗಾವಿ ಸಿರಿನದು,1985,ಬೆಳಗಾವಿ,ಸುರೇಶ ಎಸ್ ತೊಪ್ಪನ್ನವರು,ಸುರೇಶ ಎಸ್ ತೊಪ್ಪನ್ನವರು,ದೈನಿಕ,ಕನ್ನಡ,,
921,ಹಸಿರು ಕ್ರಾಂತಿ,1985,ಬೆಳಗಾವಿ,ಸಂಪತ್ಕುಮಾರ್ ಕೆ ಮುಚಳಂಬಿ,ಕಲ್ಯಾಣ್ ರಾವ್ ಮುಚಳಂಬಿ/ ಸಂಪತ್ಕುಮಾರ್ ಕೆ ಮುಚಳಂಬಿ,ದೈನಿಕ,ಕನ್ನಡ,,
922,ಅಲಂಕಾರ್,1985,ಬೆಂಗಳೂರು/ಬೆಳಗಾವಿ,ಎಂ ಎನ್‌ ಸೋಮಶೇಖರ್,ಎಂ ಎನ್‌ ಸೋಮಶೇಖರ್,,ಕನ್ನಡ,,
923,ಅನ್ವೇಷಣೆ,1985,ಬೆಂಗಳೂರು,ಆರ್.ಜಿ. ಹಳ್ಳಿ ನಾಗರಾಜ್,ಆರ್.ಜಿ. ಹಳ್ಳಿ ನಾಗರಾಜ್,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
924,ಅರ್ಪಿತಾ,1985,ಬೆಂಗಳೂರು,,ಬಿ ಪಿ ಸಣ್ಣಪ್ಪ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
925,ಬೆಂಗಳೂರು,1985,ಬೆಂಗಳೂರು,ರಾಧಾ ಕುಮಾರ್,ರಾಧಾ ಕುಮಾರ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
926,ಬ್ರಹ್ಮತೇಜ,1985,ಬೆಂಗಳೂರು,ಎಸ್ ವೆಂಕಟ ರಾಮಯ್ಯ,ಎಸ್ ವೆಂಕಟ ರಾಮಯ್ಯ,ಮಾಸಿಕ,ಕನ್ನಡ,,
927,ಬುದ್ಧಿ ಬ್ರಾಹ್ಮಣ,1985,ಬೆಂಗಳೂರು,ಪದ್ಮಾವತಿ,ಪದ್ಮಾವತಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
928,ಮಹಾ ನಂದಿ,1985,ಬೆಂಗಳೂರು,ಎಚ್ ಸಿ ಬಸವಣ್ಣ,ಎಚ್ ಸಿ ಬಸವಣ್ಣ,ದೈನಿಕ,ಕನ್ನಡ,,
929,ನಮ್ಮ ನಾಡು,1985,ಬೆಂಗಳೂರು,ಎಂಡಿ ನಂಜುಂಡಸ್ವಾಮಿ,ಎಂಡಿ ನಂಜುಂಡಸ್ವಾಮಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,"1970-79, Pub & Edi: K M Sampangirama iah",1970
930,ಪೊಲೀಸ್ ಸುದ್ದಿ,1985,ಬೆಂಗಳೂರು,ಎಂ ರಾಹುಲ್,ಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯ / ಎಂ ರಾಹುಲ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
931,ರಾಜು ಪತ್ರಿಕೆ,1985,ಬೆಂಗಳೂರು,ಬಿ.ವಿ.ವೈಕುಂಟಾ ರಾಜು,ಬಿ.ವಿ.ವೈಕುಂಟಾ ರಾಜು,,ಕನ್ನಡ,,1983
932,ಸಾರಿಗೆ ಸಂಪದ,1985,ಬೆಂಗಳೂರು,ಕೆ.ಎಸ್.ಆರ್.ಟಿ.ಸಿ,,ಮಾಸಿಕ,ಕನ್ನಡ,,
933,ಸ್ಪೈ,1985,ಬೆಂಗಳೂರು,ಕೆ ಶ್ರೀನಿವಾಸ್,ಕೆ ಶ್ರೀನಿವಾಸ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
934,ಸಂವಾದಕ ವಾರ್ತೆ,1985,ಬೆಂಗಳೂರು,ಎಸ್ ನಾಗಭೂಷಣ್,ಎಸ್ ನಾಗಭೂಷಣ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
935,ವಿಶೇಷ ವಾಣಿ,1985,ಬೆಂಗಳೂರು,,ಡಾ.ಎಂ.ಎನ್.ಬಾಬುಬೇಗ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
936,ಯೋಜನ,1985,ಬೆಂಗಳೂರು,"ಮಾಹಿತಿ ಮತ್ತು ಪ್ರಸಾರ ಸಚಿವಾಲಯ, GOI",ಎಂ.ಜಿ.ಪಕರ್ಸಿ/ಎಂ.ಜಿ.ರವೀಂದ್ರ,ಮಾಸಿಕ,ಕನ್ನಡ,,
937,ಒಕ್ಕಲಿಗರ ವಾರ್ತೆ,1985,ಬೆಂಗಳೂರು,,ವಿ ಅಂಜನಪ್ಪ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
938,ಕ್ರಾಂತಿದೀಪ,1985,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,ಎನ್.ಮಂಜುನಾಥ್,ಎನ್.ಮಂಜುನಾಥ್,ದೈನಿಕ,ಕನ್ನಡ,,
939,ಮೇಘಾ ವಾರ್ತೆ,1985,ತರಿಕೆರೆ,ಮನೆವಾರ್ತೆ ಚಂದ್ರಶೇಖರ್,ಮನೆವಾರ್ತೆ ಚಂದ್ರಶೇಖರ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
940,ರಾಷ್ಟ್ರವಾಣಿ 1,1985,ಚಿಕ್ಕಮಗಳೂರು,ಎಂ.ಸಿ.ರವಿಶಂಕರ್,ಎಂ.ಸಿ.ರವಿಶಂಕರ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
941,ದಾವಣಗೆರೆ ಭುವನೇಶ್ವರಿ,1985,ದಾವಣಗೆರೆ,,ಎನ್ ಬಿ ರುದ್ರಮುನಿ,ದೈನಿಕ,ಕನ್ನಡ,,
942,ಗ್ರಾಮ ಕೂಗು,1985,ದಾವಣಗೆರೆ,ಎಸ್ ಬಿ ಜಯ ರಾವ್,ಎಸ್ ಬಿ ಜಯ ರಾವ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
943,ಹೆಮ್ಮೆಯ ಆತ್ಮ,1985,ಹುಬ್ಬಳ್ಳಿ,,ಶ್ರೀ ಸಂಕಪ್ಪ ಹನುಮಂತಪ್ಪ ಜಪ್ಪನವರು,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
944,ನವ ನಾಡು,1985,ಹುಬ್ಬಳ್ಳಿ/ಧಾರವಾಡ,ಪಾಂಡುರಂಗ ಪಾಟೀಲ,ಪಾಂಡುರಂಗ ಪಾಟೀಲ,ದೈನಿಕ,ಕನ್ನಡ,,
945,ವಿನ್ಸಮ್,1985,ಹುಬ್ಬಳ್ಳಿ/ಧಾರವಾಡ,ಎಸ್.ಬಿ. ಶೆಟ್ಟರ್,ಎಸ್.ಬಿ. ಶೆಟ್ಟರ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,,
946,ಸೀಟು ಸಂದೇಶ,1985,ಮಂಗಳೂರು,ಸಿತು ಕರ್ನಾಟಕ ರಾಜ್ಯ ಸಮಿತಿಗೆ ಕಾರ್ ಸರಿಯಾನ್,ಸಿ ನಂಜುಂಡಪ್ಪ,ಮಾಸಿಕ,,,
947,ಕರ್ನಾಟಕ ಮುನ್ನಡೆ,1985,ಮಂಗಳೂರು,ಜಿಲ್ಲಾ ವಾರ್ತಾ & ಪ್ರಚಾರ ಇಲಾಖೆ,ಸುಭಾಶ್ಚಂದ್ರ ಖಂತಿ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
948,ನಗರ ದೀಪಿಕಾ,1985,ಮಂಗಳೂರು,ಜುಡಿತ್ ಮಸ್ಕರೇನ್ಹಸ್,ಜುಡಿತ್ ಮಸ್ಕರೇನ್ಹಸ್,,ಕನ್ನಡ,,
949,ರಂಗಪಾತ್ರ,1985,ದಕ್ಷಿಣಕನ್ನಡ,ಕರಾವಳಿ ರಂಗ ಸ್ನೇಹಿತರು,ಪುರುಷೋತ್ತಮ ಬಿಳಿಮಲೆ,,ಕನ್ನಡ,,
950,ಗದಗ್ ಪತ್ರಿಕೆ,1985,ಗದಗ,ಬಸವರಾಜ ಎಸ್ ಚನ್ನಮ್ಮರಣ್ಣವರ,ಬಸವರಾಜ ಎಸ್ ಚನ್ನಮ್ಮರಣ್ಣವರ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
951,ಹಸಿರು ಕ್ರಾಂತಿ,1985,ಬೆಳಗಾವಿ/ಗದಗ,ಸಂಪತ್ಕುಮಾರ್ ಕೆ ಮುಚಳಂಬಿ,ಸಂಪತ್ಕುಮಾರ್ ಕೆ ಮುಚಳಂಬಿ,ದೈನಿಕ,ಕನ್ನಡ,,
952,ನೃಪತುಂಗ,1985,ಕಲಬುರ್ಗಿ,ಶಿವರಾಯ ದೊಡ್ಮನಿ,ಶಿವರಾಯ ದೊಡ್ಮನಿ,ದೈನಿಕ,ಕನ್ನಡ,,
953,ಚರಣ್ ಗಂಗೋತ್ರಿ,1985,ಮೈಸೂರು,YHAI ಗಂಗೋತ್ರಿ,ಪರಶಿವಮೂರ್ತಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
954,ಗೆಳೆಯರ ಚಿಂತನ,1985,ಮೈಸೂರು,"ಘಟಕ
 ಎಸ್. ಕೃಷ್ಣ",ಎಸ್.ಕೃಷ್ಣ,ಮಾಸಿಕ,ಕನ್ನಡ,,
955,ನಿನ್ನಿಂದ,1985,ಮೈಸೂರು,ಮೈಸೂರು ಪೇಪರ್ ಫ್ಯಾಕ್ಟರಿ,,ಮಾಸಿಕ,ದ್ವಿಭಾಷಿಕ,,
956,ಕನ್ನಡ ಪುತ್ರ,1985,ಮೈಸೂರು,ಸಿ.ಎಂ. ನಾಗೇಶ್,ಸಿ.ಎಂ. ನಾಗೇಶ್,,ಕನ್ನಡ,,
957,ಕೆಲಸ ಪತ್ರಿಕೆ,1985,ಮೈಸೂರು,ರತ್ನ ಸಜ್ಜನ್,ರತ್ನ ಸಜ್ಜನ್,ಪಾಕ್ಷಿಕ/Weekly,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,,"1991, Editoe Naganna"
958,ಮಹಾ ನಂದಿ,1985,ಮೈಸೂರು,ಎಚ್ ಸಿ ಬಸವಣ್ಣ,ಎಚ್ ಸಿ ಬಸವಣ್ಣ,ದೈನಿಕ,ಕನ್ನಡ,,
959,ನಗರ ದೂತ,1985,ಕೆ.ಆರ್.ನಗರ,ಕೆ ಟಿ ಮಂಜುನಾಥ್,ಕೆ ಟಿ ಮಂಜುನಾಥ್,ದೈನಿಕ,ಕನ್ನಡ,,
960,ರಂಗ ವಾಣಿ,1985,ಮೈಸೂರು,ಎಸ್. ಸುಕನ್ಯ,ಎಸ್. ಸುಕನ್ಯ,ಮಾಸಿಕ,ಕನ್ನಡ,,Editor - T S Rajashek ar
961,ಸುರೇಂದ್ರ,1985,ಮೈಸೂರು,ಸಿ ಸಂಪತ್ ಕುಮಾರ್,ಸಿ ಸಂಪತ್ ಕುಮಾರ್,ದೈನಿಕ,ಕನ್ನಡ,,1980
962,ಕ್ರಾಂತಿ ದೀಪಾ,1985,ಶಿವಮೊಗ್ಗ,ಎನ್ ಮಂಜುನಾಥ್,ಎನ್ ಮಂಜುನಾಥ್,ದೈನಿಕ,ಕನ್ನಡ,,
963,ನಾಗರ ಹಾವು,1985,‌ಭದ್ರಾವತಿ,ಬಿ ಎ ಕೆ ಮೂರ್ತಿ,ಬಿ ಎ ಕೆ ಮೂರ್ತಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
964,ವಿಚಾರ ದೀಕ್ಷೆ,1985,ಶಿವಮೊಗ್ಗ,ಎಚ್ ಆರ್ ಸೋಮಶೇಖರಪಪ ,ಎಚ್ ಆರ್ ಸೋಮಶೇಖರಪಪ ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
965,ಅಮೃತ ವಾಣಿ,1985,ತುಮಕೂರು,ಗಂಗಹನುಮಯ್ಯ:,ಗಂಗಹನುಮಯ್ಯ:,ದೈನಿಕ,ಕನ್ನಡ,,
966,ಖಡ್ಕೆ ಪತ್ರಿಕೆ,1986,ಬೀದರ್,,,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
967,ಸಾಮಾಜಿಕ ಕಾರ್ಯಕರ್ತ,1986,ಬಾಗಲಕೋಟೆ,ಮುಜಾಫರ್ ಅಹ್ಮದ್ ಮತ್ತು ಶಾಲ್ಗರ್,ಸಂ. ಎಚ್ ಶಾಲ್ಗರ್ / ಮುಜಾಫರ್ ಅಹ್ಮದ್ ಸಂ. ಶಾಲ್ಗರ್,ದೈನಿಕ,ಕನ್ನಡ,,
968,ಸ್ನೇಹವಾಣಿ,1986,ಬೆಳಗಾವಿ,,ಅಶೋಕನಂತೆ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
969,ವಾರ್ತಾ ಶಕ್ತಿ,1986,ಬೆಳಗಾವಿ,ಜೆ ಎ ಶಿರ್ಕೋಳಿ,ಜೆ ಎ ಶಿರ್ಕೋಳಿ,ದೈನಿಕ,ಕನ್ನಡ/ಮರಾಠಿ/ ಹಿಂದಿ,,
970,ಅಚಲ,1986,ಬೆಂಗಳೂರು,ಜಾಗೃತಿ ಮಹಿಳಾ ಅಧ್ಯಾಯನ ಕೇಂದ್ರ,ಗಾಯತ್ರಿ ಎನ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
971,ದಲಿತ ಉವಾಚ,1986,ಬೆಂಗಳೂರು,,ಎಸ್ ಗೋಪಾಲ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
972,ಗ್ರಾಮ ಪುನಾರೂಢರ,1986,ಬೆಂಗಳೂರು,,ಎ ಚಿಕ್ಕಮುನಿಯಪ್ಪ,ಮಾಸಿಕ,ಕನ್ನಡ,,
973,ಜಗ ಮೆಚ್ಚಿದ ಮಗ,1986,ಬೆಂಗಳೂರು,,ಎಂ ವೆಂಕಟೇಶ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
974,ಕನ್ನಡ ಕೈಲಾಸ,1986,ಬೆಂಗಳೂರು,ಆರ್ ಜವರಯ್ಯ,ಆರ್ ಜವರಯ್ಯ,ಮಾಸಿಕ,ಕನ್ನಡ,,
975,ಕನ್ನಡ ಕೂಗು,1986,ಬೆಂಗಳೂರು,,ಪಿ ಎಂ ರುದ್ರಯ್ಯ,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
976,ಕೋಮಲಾಂಗಿ,1986,ಬೆಂಗಳೂರು,ವಿಜಯಲಕ್ಷ್ಮಿ ಪಬ್ಲಿಕೇಷನ್ಸ್,ಎಂ ವೈ ರುದ್ರೇಶ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
977,ಕೃಷ್ಣಾಪುರ ಪತ್ರಿಕೆ,1986,ಬೆಂಗಳೂರು,ಕೆ ಸತ್ಯನಾರಾಯಣ,ಕೆ ಸತ್ಯನಾರಾಯಣ,ಮಾಸಿಕ,ಕನ್ನಡ,,
978,ಮಧುರ ದರ್ವಾಹಿ,1986,ಬೆಂಗಳೂರು,ವಿಜಯಲಶ್ಮಿ ಪ್ರಕಾಶ್,ಎಂ ವೈ ರುದ್ರೇಶ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
979,ಮಾನಸ,1986,ಬೆಂಗಳೂರು,ಮಾನವ ಪತ್ರಿಕಾ,ರಾಜೇಶ್ವರಿ:,ಮಾಸಿಕ,ಕನ್ನಡ,,
980,ಮನ್ವಂತರ,1986,ಬೆಂಗಳೂರು,ಅಕಿಲಾ ಪ್ರಕಾಶಕರು,ಎಸ್ ಅಶೋಕ್ ಬಾಬು,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,1978
981,ಮರ್ದಾನಿ,1986,ಬೆಂಗಳೂರು,ಜಾಣಗೆರೆ ವೆಂಕಟರಾಮಯ್ಯ,ಜಾಣಗೆರೆ ವೆಂಕಟರಾಮಯ್ಯ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
982,ನಿಮ್ಮ ಗೆಳತಿ,1986,ಬೆಂಗಳೂರು,ಕೆ.ವಿ. ಸತೀಶ್ ಕುಮಾರ್,ಕೆ.ವಿ. ಸತೀಶ್ ಕುಮಾರ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
983,ಸಾರ್ವಜನಿಕ ಮೇಲೆ,1986,ಬೆಂಗಳೂರು,ಮೈಸೂರು ಕುಮಾರ್,ಮೈಸೂರು ಕುಮಾರ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
984,ಸಾರ್ವಜನಿಕ ಸೇವಕ,1986,ಬೆಂಗಳೂರು,ಎಸ್ ಲಕ್ಷ್ಮಣ್,ಎಸ್ ಲಕ್ಷ್ಮಣ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
985,ಸದ್ಗುರು,1986,ಬೆಂಗಳೂರು,,ಎಚ್ ಎಸ್ ರಂಗನಾಥ/ ಶ್ರೀಕಂಠಯ್ಯ,,ಕನ್ನಡ,,
986,ಸ್ಪರ್ಧ ಸಾಮಾನ್ಯ ಜ್ಞಾನ,1986,ಬೆಂಗಳೂರು,ಉದಯಶಂಕರ್,ವಸಂತ ಕುಮಾರ್ ಮುತ್ತು,ಮಾಸಿಕ,ಕನ್ನಡ,,
987,ಸ್ಪುರಾಣ,1986,ಚಿಕ್ಕಮಗಳೂರು,ಕೆ. ಭವಾನಿ ಶಂಕರ,ಕೆ. ಭವಾನಿ ಶಂಕರ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
988,ದುರ್ಗದ ಕೂಗು,1986,ಚಿತ್ರದುರ್ಗ,ಎನ್ ಕೆ ಪ್ರಕಾಶ್,ಎನ್ ಕೆ ಪ್ರಕಾಶ್,ದೈನಿಕ,ಕನ್ನಡ,,
989,ಜನನಾಂಗ,1986,ಚಿತ್ರದುರ್ಗ,,ಬಿ ಚಿತ್ರಲಿಂಗಪ್ಪ,ದೈನಿಕ,ಕನ್ನಡ,,
990,ವಿಜಯ್ ಕಹ್ಲೆ,1986,ದಾವಣಗೆರೆ,ವಿರಾನ ಸಜ್ಜನ,ವಿರಾನ ಸಜ್ಜನ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
991,ಆರೋಗ್ಯ ರಕ್ಷಕ,1986,ಧಾರವಾಡ,,ಆರ್.ಸಿ. ಮುದುಕ,ಮಾಸಿಕ,ಕನ್ನಡ,,
992,ವರ್ಷದ ಸಂದೇಶ,1986,ಧಾರವಾಡ,,ಸ್ವಾಮಿ ಚಿದ್ರೂಪಾನಂದ ಸರಸ್ವತಿ/ ಕೆ ಆರ್ ವೈಶರ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
993,ಭಾಷಾ ಲೋಕ,1986,ಧಾರವಾಡ,,ಎಂ ಮುರಿಗೆಪ್ಪ / ಹೆಚ್ ಎಂ ಮಹೇಶ್ವರಯ್ಯ,ತ್ರೈಮಾಸಿಕ,ಕನ್ನಡ,,
994,ಕಠಿಣ ಕೆಲಸಗಾರ ಧ್ವನಿ,1986,ಹುಬ್ಬಳ್ಳಿ/ಧಾರವಾಡ,ವೈ.ಬಿ. ಗೌಡರ್,ವೈ.ಬಿ. ಗೌಡರ್,ಮಾಸಿಕ,ಕನ್ನಡ,,
995,ಪರಸ್ವಾಣಿ,1986,ಹುಬ್ಬಳ್ಳಿ/ಧಾರವಾಡ,,ಪ್ಯಾರಾಸ್ಮೆಲ್ ಕಾನೂನು ಮಾರುಕಟ್ಟೆ ಮಾಡುತ್ತದೆ,ಸಾಪ್ತಾಹಿಕ,ಹಿಂದಿ,,
996,ರಂಗತೋರಣ,1986,ಧಾರವಾಡ,ಸುದರ್ಶನ ದೇಸಾಯಿ,ಸುದರ್ಶನ ದೇಸಾಯಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,1984
997,SSK ವಾರ್ತಾ,1986,ಧಾರವಾಡ,,ವಿಟ್ಟಲಸ ಪಿ ಪವಾರ್ /ರಾಜು ಡಿ ಪವಾರ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
998,ಇಶಾ ಪತ್ರಿಕೆ,1986,ಪುತ್ತೂರು/ದಕ್ಷಿಣಕನ್ನಡ,,ಇಸ್ಮಾಯಿಲ್ ಶಾಫಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
999,ಕನ್ನಡ Kali,1986,ಮಂಗಳೂರು,,ಕೆ.ಎಸ್.ಭಟ್,,ಕನ್ನಡ,,
1000,ಪರಿವರ್ತಕ,1986,ಪುತ್ತೂರು/ದಕ್ಷಿಣಕನ್ನಡ,ಸುದರ್ಶನ,ಸುದರ್ಶನ,ಮಾಸಿಕ,ಕನ್ನಡ,,
1001,ಸುದ್ಧಿ ಬಿಡುಗಡೆ,1986,ಪುತ್ತೂರು/ದಕ್ಷಿಣಕನ್ನಡ,,ಉ ಪಿ ಶಿವಾನಂದ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
1002,ಉದ್ಯೋಗ ಬುಲೆಟಿನ್,1986,ಮಂಗಳೂರು,ಪುತ್ತೂರು ಸಣ್ಣ ಕೈಗಾರಿಕಾ ಸಂಘ,,,,,
1003,ಹಾಸನ ಮಾಧ್ಯಮ,1986,ಹಾಸನ,ಕೆ ಕೇಶವ ಪ್ರಸಾದ್,ಕೆ.ಶೇಷಾದ್ರಿ/ ಕೇಶವ ಪ್ರಸಾದ್ ಕೆ,ದೈನಿಕ,ಕನ್ನಡ,,
1004,ಚಿಂತಕ,1986,ಕಲಬುರ್ಗಿ,ಶೀಲಾ ತಿವಾರಿ,ಶೀಲಾ ತಿವಾರಿ,ದೈನಿಕ,ಕನ್ನಡ,,
1005,ಗ್ರೀನೋಬೆಲ್ಸ್,1986,ಕಲಬುರ್ಗಿ,ರಾಜೇಂದ್ರ ಪಾಟೀಲ್,ರಾಜೇಂದ್ರ ಪಾಟೀಲ್,ದೈನಿಕ,ಕನ್ನಡ,,
1006,ಗಡಿನಾಡ ಸಂಚಾರಿ,1986,ಮಡಿಕೇರಿ,ಟಿ ಪಿ ರಮೇಶ್,ಟಿ ಪಿ ರಮೇಶ್,,ಕನ್ನಡ,,
1007,ಮಂಡ್ಯ ವಾಹಿನಿ,1986,ಮಂಡ್ಯ,ಅಧಿಪತಿ,ಅಧಿಪತಿ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,
1008,ಆರೋಗ್ಯ ಯೋಗ,1986,ಮೈಸೂರು,ಸುಧಾ ಯೋಗಣ್ಣ,ಎಸ್ ಪಿ ಯೋಗಣ್ಣ,ಮಾಸಿಕ,ಕನ್ನಡ,,
1009,ಶಾಂತಾ ವಾಣಿ,1986,ಮೈಸೂರು,ಟಿ.ಕೃಷ್ಣಶೆಟ್ಟಿ,ಟಿ.ಕೃಷ್ಣಶೆಟ್ಟಿ / ಸೋಮಸುಂದರ ಶಾಸ್ತ್ರಿ,ದೈನಿಕ Evening,ಕನ್ನಡ,,
1010,ಅರ್ಶ್ ಸಂದೇಶ,1986,ಸಾಗರ,ಸ್ವಾಮಿ ಚಿದ್ರೂಪಾನಂದ ಸರಸ್ವತಿ,ಸ್ವಾಮಿ ಚಿದ್ರೂಪಾನಂದ ಸರಸ್ವತಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
1011,ಸಾಗರ ಗ್ರಾಮ ವಿಕಾಸ,1986,ಸಾಗರ,ಕೆ ವಿ ಮಂಜುನಾಥ್,ಕೆ ವಿ ಮಂಜುನಾಥ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,,1988
1012,ಸಾಗರ ಪ್ರಭಾ,1986,ಸಾಗರ,ಆರ್ ಆರ್ ತಾರನಾಥ್,ಆರ್ ಆರ್ ತಾರನಾಥ್,ದೈನಿಕ,ಕನ್ನಡ,,1983
